Model,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia,Mean
Global,0.807301161751564,0.9006440325469836,0.8789471968902399,0.6945220975571558,0.8422547102133284,0.745367361083126,0.7494265611711038,0.8764275900125177,0.8115748344161806,0.9093815228242127,0.8769499731038192,0.7899370938926247,0.774830957670274,0.8609660090159678,0.8227522215820785
Local,0.7838875764252029,0.847969988159213,0.8549584567965341,0.6759806508298479,0.7988699263734189,0.7053810687354475,0.7265748034166237,0.849177462243258,0.8075835229458095,0.8847399945548599,0.8392269880469181,0.7583821216286478,0.772650086094862,0.862120279817935,0.7976787804334698
Fusion,0.8083946062166538,0.900426571940371,0.8783446949106184,0.6948348463437798,0.8426365112327732,0.7443265977366993,0.7595287153478139,0.8776264915672288,0.8149000100517458,0.9096837281059988,0.8819187805201791,0.795646169224078,0.7798140013937751,0.8835146564026027,0.8265425986424513
Global,0.8066272042753874,0.9003047484591796,0.8781958139620468,0.693911168357729,0.844090390787238,0.7490683656854642,0.7577836436662647,0.8756299580027997,0.8117727541201774,0.9090511843179961,0.8721204494805893,0.7968779124459479,0.7780943345912996,0.8654718109177871,0.8242142670764219
Local,0.7852027977596688,0.8496781734827095,0.8516467425830856,0.6750211308741918,0.7956006796299792,0.7012920754326939,0.7255734049176703,0.8509441963128385,0.8065537382110053,0.8826186586804611,0.8412361240158442,0.7598444079402744,0.7715840611992216,0.8591036836294289,0.7968499910477912
Fusion,0.8076987940080871,0.9013214621853844,0.8768366271927486,0.693839349775507,0.8444329998112139,0.7475877792711134,0.7654543629504936,0.8770657882067122,0.8148017770821859,0.9088465377983483,0.8782563590255899,0.8008581871137859,0.7825390995577787,0.8872414891620736,0.8276271866529302
Global,0.8065185057379733,0.9005946959346632,0.8771265532504933,0.6953714795295767,0.8427093071549934,0.7483000788436106,0.7518932637384548,0.87780722025939,0.8112408838558165,0.9100739631545512,0.8747371509609271,0.7932529902474279,0.7729420254943887,0.8463336082636189,0.8220644090304203
Local,0.7850054415629231,0.8453710872271305,0.8518211582321847,0.6754131843944656,0.8002774400604116,0.698176168557365,0.727208604227509,0.848265115658956,0.8086207841856965,0.8820389781286869,0.8391990439630299,0.7669980564618012,0.7702470382277048,0.8526766427084561,0.7965227673997373
Fusion,0.8070611136180642,0.9009601663782373,0.8762636752940428,0.6947248160749537,0.8419610345478574,0.747956618479675,0.7630263191805963,0.8789456628817338,0.8147525567570576,0.9097082312369543,0.8801508805879436,0.8020921104121543,0.7784001522644882,0.8729451143142672,0.8263534608591449
Global,0.8056630301099815,0.8998170750220117,0.8763511560085218,0.6936971667555849,0.8415662450443646,0.7482765457331395,0.7543613227548396,0.8780640549889267,0.8114996540039593,0.9080538161357655,0.8754680634051264,0.7926741799369741,0.7747036988573224,0.8585025463781207,0.8227641825096169
Local,0.7804265212043993,0.8511554255093057,0.8515141570617208,0.6734749174611412,0.7973450632433454,0.7001837889784446,0.7316316454133709,0.8494550363309112,0.8069404396683423,0.8854415101188855,0.8297323306064565,0.7656946432250308,0.7690989828216711,0.861428590131312,0.7966802179838812
Fusion,0.8062715118696856,0.9005366305370859,0.8754644196753951,0.6922636495429839,0.841960808004531,0.7474346602418712,0.7647734255356955,0.8792519387596384,0.814898140925475,0.9076946637625919,0.8798024527919632,0.7973711547538205,0.7778737691706046,0.8813217600775042,0.8262084989749177
Global,0.8061898441854909,0.8998580623614779,0.8775909339416128,0.6929511098300276,0.8438978289597885,0.7504800446913763,0.752384976513085,0.8772678117755112,0.8122763798097812,0.9066952536527815,0.8764264581572273,0.7911830076117371,0.7736173522038203,0.8511536162060493,0.8222837628499834
Local,0.7832536564648422,0.8546186659380028,0.8540003792390332,0.674699334077209,0.7988564092882764,0.7002916106153093,0.7197237184608642,0.8455531668259154,0.8080758300374408,0.8819715945185589,0.8388434118329223,0.7664541273753295,0.7677894685711623,0.8480071918271517,0.7958670403622872
